batch_id,method,n_samples,n_features,fro_norm,explained_variance_ratio,reconstruction_error
1,FD,976,3665,134.9147879218583,0.5444880341154044,0.4555119658845956
1,GRP,976,3665,134.9147879218583,0.0694637978422196,0.9305362021577804
1,IPCA,976,3665,133.15593135034592,0.356068967393202,0.643931032606798
2,FD,976,3665,137.02554506368512,0.523863534154253,0.476136465845747
2,GRP,976,3665,137.02554506368512,0.0699245399319789,0.930075460068021
2,IPCA,976,3665,135.3621281639455,0.3442903670115829,0.6557096329884171
3,FD,976,3665,138.57849761056005,0.5268622529870899,0.4731377470129101
3,GRP,976,3665,138.57849761056005,0.0698590141993312,0.9301409858006688
3,IPCA,976,3665,136.7770937246457,0.351274403668344,0.6487255963316559
4,FD,976,3665,141.15594213493105,0.5290678138686556,0.4709321861313443
4,GRP,976,3665,141.15594213493105,0.0696655813842717,0.9303344186157282
4,IPCA,976,3665,139.30506315651436,0.3477653574167801,0.65223464258322
5,FD,976,3665,140.55248130146973,0.5341014686323873,0.4658985313676127
5,GRP,976,3665,140.55248130146973,0.0696092223710442,0.9303907776289556
5,IPCA,976,3665,138.70846375348265,0.353881589476366,0.646118410523634
6,FD,976,3665,136.4367985552285,0.5254160532324033,0.4745839467675967
6,GRP,976,3665,136.4367985552285,0.0699980764108029,0.9300019235891972
6,IPCA,976,3665,134.64255582099034,0.3477590309516167,0.6522409690483832
7,FD,976,3665,132.9887213262839,0.5439229415408979,0.456077058459102
7,GRP,976,3665,132.9887213262839,0.0699854361896202,0.9300145638103796
7,IPCA,976,3665,131.1181265946033,0.3623738218235674,0.6376261781764325
8,FD,976,3665,133.9290857132983,0.5512620374519487,0.4487379625480513
8,GRP,976,3665,133.9290857132983,0.0697608895744261,0.9302391104255738
8,IPCA,976,3665,132.06686476046772,0.370016783761234,0.629983216238766
9,FD,976,3665,136.56500283747664,0.5456128577552589,0.4543871422447411
9,GRP,976,3665,136.56500283747664,0.0703739728266683,0.9296260271733316
9,IPCA,976,3665,134.76953615726816,0.3595990481811087,0.6404009518188913
10,FD,976,3665,140.07854939283175,0.5271191748760775,0.4728808251239225
10,GRP,976,3665,140.07854939283175,0.0701526262786594,0.9298473737213404
10,IPCA,976,3665,138.24347435869376,0.348353185805933,0.651646814194067
11,FD,976,3665,139.8356177803066,0.5475211432263697,0.4524788567736303
11,GRP,976,3665,139.8356177803066,0.0694597161782619,0.930540283821738
11,IPCA,976,3665,137.9252440942894,0.3707359510321816,0.6292640489678184
12,FD,976,3665,140.7941760159134,0.5413671677772869,0.4586328322227131
12,GRP,976,3665,140.7941760159134,0.0694573782993051,0.9305426217006948
12,IPCA,976,3665,138.99766704128265,0.3648917769622717,0.6351082230377283
13,FD,976,3665,150.51245795614395,0.5418737100405085,0.4581262899594914
13,GRP,976,3665,150.51245795614395,0.0699115600884052,0.9300884399115948
13,IPCA,976,3665,148.49773695174164,0.3648135815808817,0.6351864184191183
14,FD,976,3665,152.77107055984126,0.5380232781275996,0.4619767218724003
14,GRP,976,3665,152.77107055984126,0.0693290018889402,0.9306709981110598
14,IPCA,976,3665,150.78500535017182,0.3589399937848026,0.6410600062151974
15,FD,976,3665,156.8884954354525,0.5360424172841355,0.4639575827158645
15,GRP,976,3665,156.8884954354525,0.0697849900977117,0.9302150099022882
15,IPCA,976,3665,154.94222882662632,0.3596674096087936,0.6403325903912064
16,FD,976,3665,152.18081350814234,0.5302734380924002,0.4697265619075997
16,GRP,976,3665,152.18081350814234,0.0699946678793695,0.9300053321206304
16,IPCA,976,3665,150.17490147830082,0.3503878439389443,0.6496121560610557
17,FD,976,3665,149.91330828182,0.5508348891696211,0.4491651108303789
17,GRP,976,3665,149.91330828182,0.0697556801014815,0.9302443198985184
17,IPCA,976,3665,147.8850628341384,0.3634418492812941,0.6365581507187059
18,FD,976,3665,151.97368193210298,0.5414344800326482,0.4585655199673518
18,GRP,976,3665,151.97368193210298,0.0700593580847912,0.9299406419152088
18,IPCA,976,3665,149.94127951964782,0.3645867466245319,0.6354132533754682
19,FD,968,3665,144.187378088375,0.5538331092961281,0.4461668907038719
19,GRP,968,3665,144.187378088375,0.0702336148683924,0.9297663851316076
19,IPCA,968,3665,142.40906190820533,0.3723229631288553,0.6276770368711446
20,FD,300,3665,69.46221994724903,0.9178721976080947,0.08212780239190531
20,GRP,300,3665,69.46221994724903,0.07021424288576748,0.9297857571142325
20,IPCA,300,3665,66.49423531711032,0.5516116493055778,0.4483883506944222
