support,itemsets
0.1598360655737705,frozenset({'22084'})
0.1557377049180328,frozenset({'47566'})
0.15471311475409835,frozenset({'22423'})
0.14856557377049182,frozenset({'85123A'})
0.13422131147540983,frozenset({'84879'})
0.12192622950819672,frozenset({'22499'})
0.11577868852459017,frozenset({'21212'})
0.11372950819672131,frozenset({'22993'})
0.1096311475409836,frozenset({'85099B'})
0.10758196721311475,frozenset({'84755'})
0.10655737704918032,frozenset({'23206'})
0.10655737704918032,frozenset({'21181'})
0.10655737704918032,frozenset({'22457'})
0.10553278688524591,frozenset({'84970S'})
0.10553278688524591,frozenset({'20725'})
0.10553278688524591,frozenset({'48138'})
0.10450819672131148,frozenset({'22178'})
0.1014344262295082,frozenset({'22090'})
0.09528688524590163,frozenset({'23201'})
0.09528688524590163,frozenset({'22960'})
0.0942622950819672,frozenset({'82482'})
0.0932377049180328,frozenset({'22699'})
0.09221311475409837,frozenset({'22666'})
0.09221311475409837,frozenset({'23199'})
0.09221311475409837,frozenset({'22087'})
0.09118852459016394,frozenset({'22383'})
0.09118852459016394,frozenset({'22427'})
0.09118852459016394,frozenset({'22722'})
0.09016393442622951,frozenset({'23207'})
0.08913934426229508,frozenset({'22197'})
0.08913934426229508,frozenset({'22969'})
0.08811475409836066,frozenset({'POST'})
0.08811475409836066,frozenset({'22501'})
0.08811475409836066,frozenset({'22139'})
0.08709016393442623,frozenset({'22384'})
0.08504098360655737,frozenset({'21977'})
0.08401639344262295,frozenset({'22411'})
0.08299180327868852,frozenset({'71459'})
0.08299180327868852,frozenset({'20728'})
0.08299180327868852,frozenset({'84991'})
0.08299180327868852,frozenset({'22138'})
0.08299180327868852,frozenset({'23208'})
0.08094262295081968,frozenset({'22382'})
0.07991803278688525,frozenset({'20726'})
0.07889344262295082,frozenset({'22558'})
0.07889344262295082,frozenset({'22698'})
0.07889344262295082,"frozenset({'22084', '22499'})"
0.0778688524590164,"frozenset({'22698', '22699'})"
0.0778688524590164,frozenset({'21936'})
0.0778688524590164,frozenset({'85066'})
0.07684426229508197,frozenset({'22697'})
0.07479508196721311,"frozenset({'22697', '22699'})"
0.07479508196721311,frozenset({'82486'})
0.07377049180327869,frozenset({'20727'})
0.07377049180327869,frozenset({'22502'})
0.07274590163934426,"frozenset({'22423', '22699'})"
0.07172131147540983,"frozenset({'22698', '22697'})"
0.07172131147540983,"frozenset({'22698', '22697', '22699'})"
0.07172131147540983,frozenset({'48187'})
0.07172131147540983,frozenset({'21080'})
0.07172131147540983,frozenset({'21928'})
0.07172131147540983,frozenset({'22386'})
0.07172131147540983,frozenset({'23204'})
0.0706967213114754,frozenset({'20914'})
0.0706967213114754,frozenset({'22607'})
0.06967213114754098,frozenset({'21929'})
0.06967213114754098,frozenset({'22907'})
0.06967213114754098,frozenset({'84946'})
0.06864754098360656,frozenset({'21755'})
0.06762295081967214,"frozenset({'23206', '23208'})"
0.06762295081967214,frozenset({'21034'})
0.06762295081967214,frozenset({'22900'})
0.06762295081967214,frozenset({'22652'})
0.06762295081967214,frozenset({'22998'})
0.06762295081967214,frozenset({'21166'})
0.06454918032786885,frozenset({'21931'})
0.06352459016393443,"frozenset({'22698', '22423'})"
0.06352459016393443,frozenset({'20724'})
0.0625,"frozenset({'22698', '22423', '22699'})"
0.06147540983606557,frozenset({'84970L'})
0.06147540983606557,frozenset({'22727'})
0.06147540983606557,frozenset({'22077'})
0.06147540983606557,frozenset({'82484'})
0.060450819672131145,frozenset({'47566B'})
0.060450819672131145,frozenset({'21754'})
0.060450819672131145,frozenset({'21175'})
0.060450819672131145,"frozenset({'23207', '23206'})"
0.05942622950819672,frozenset({'21878'})
0.05942622950819672,frozenset({'22326'})
0.05942622950819672,frozenset({'22431'})
0.0584016393442623,"frozenset({'22423', '22697'})"
0.0584016393442623,"frozenset({'22423', '22697', '22699'})"
0.0584016393442623,frozenset({'84077'})
0.05737704918032787,"frozenset({'22384', '20725'})"
0.05737704918032787,"frozenset({'23199', '23201'})"
0.05737704918032787,frozenset({'21524'})
0.05737704918032787,frozenset({'21790'})
0.05737704918032787,frozenset({'22149'})
0.05737704918032787,frozenset({'23205'})
0.05635245901639344,"frozenset({'22423', '22698', '22697'})"
0.05635245901639344,frozenset({'22355'})
0.05635245901639344,frozenset({'22979'})
0.05635245901639344,frozenset({'48184'})
0.05635245901639344,frozenset({'22621'})
0.055327868852459015,frozenset({'85099C'})
0.055327868852459015,frozenset({'84978'})
0.055327868852459015,frozenset({'22729'})
0.055327868852459015,frozenset({'22083'})
0.055327868852459015,"frozenset({'20728', '20725'})"
0.05430327868852459,frozenset({'21770'})
0.05430327868852459,frozenset({'20723'})
0.05327868852459016,"frozenset({'23207', '23208'})"
0.05327868852459016,frozenset({'22088'})
0.05327868852459016,frozenset({'84380'})
0.05225409836065574,"frozenset({'85099B', '21928'})"
0.05225409836065574,frozenset({'22432'})
