support,itemsets
0.12807377049180327,frozenset({'23084'})
0.1014344262295082,frozenset({'22086'})
0.07377049180327869,frozenset({'22197'})
0.06762295081967214,frozenset({'84879'})
0.06557377049180328,frozenset({'23355'})
0.060450819672131145,frozenset({'POST'})
0.05737704918032787,frozenset({'22865'})
0.05737704918032787,frozenset({'23569'})
0.055327868852459015,frozenset({'22910'})
0.055327868852459015,frozenset({'23581'})
0.05430327868852459,frozenset({'23344'})
0.05225409836065574,frozenset({'23321'})
0.04815573770491803,frozenset({'22112'})
0.04815573770491803,frozenset({'23301'})
0.0471311475409836,frozenset({'23571'})
0.04610655737704918,frozenset({'22578'})
0.04610655737704918,frozenset({'22726'})
0.04610655737704918,frozenset({'23203'})
0.045081967213114756,frozenset({'22666'})
0.045081967213114756,frozenset({'22138'})
0.045081967213114756,frozenset({'22469'})
0.045081967213114756,frozenset({'23582'})
0.04405737704918033,frozenset({'85123A'})
0.04405737704918033,frozenset({'22114'})
0.0430327868852459,frozenset({'21790'})
0.042008196721311473,frozenset({'23583'})
0.040983606557377046,frozenset({'23245'})
0.040983606557377046,frozenset({'21733'})
0.040983606557377046,frozenset({'22382'})
0.040983606557377046,frozenset({'22867'})
0.039959016393442626,frozenset({'84946'})
0.039959016393442626,frozenset({'22577'})
0.0389344262295082,frozenset({'21914'})
0.0389344262295082,frozenset({'22139'})
0.0389344262295082,frozenset({'23343'})
0.03790983606557377,frozenset({'22411'})
0.03790983606557377,frozenset({'22907'})
0.03790983606557377,frozenset({'22952'})
0.03790983606557377,frozenset({'22423'})
0.036885245901639344,frozenset({'84596F'})
0.035860655737704916,frozenset({'23439'})
0.035860655737704916,frozenset({'23356'})
0.03483606557377049,frozenset({'20616'})
0.03483606557377049,frozenset({'23126'})
0.03483606557377049,frozenset({'20982'})
0.03483606557377049,frozenset({'23313'})
0.03381147540983607,frozenset({'23319'})
0.03381147540983607,frozenset({'23368'})
0.03381147540983607,frozenset({'23503'})
0.03278688524590164,frozenset({'23320'})
0.03278688524590164,frozenset({'84077'})
0.03278688524590164,frozenset({'85099B'})
0.031762295081967214,frozenset({'23382'})
0.031762295081967214,frozenset({'23365'})
0.031762295081967214,frozenset({'22734'})
0.031762295081967214,frozenset({'20728'})
0.031762295081967214,frozenset({'22866'})
0.031762295081967214,frozenset({'21232'})
0.031762295081967214,frozenset({'22993'})
0.031762295081967214,frozenset({'21086'})
0.030737704918032786,frozenset({'20972'})
0.030737704918032786,frozenset({'21034'})
0.030737704918032786,frozenset({'35970'})
0.030737704918032786,frozenset({'21931'})
0.030737704918032786,frozenset({'23322'})
0.030737704918032786,frozenset({'23323'})
0.030737704918032786,frozenset({'22150'})
0.02971311475409836,frozenset({'85066'})
0.02971311475409836,frozenset({'22113'})
0.02971311475409836,frozenset({'22835'})
0.02971311475409836,frozenset({'23570'})
0.02971311475409836,frozenset({'47591D'})
0.02971311475409836,frozenset({'22617'})
0.02971311475409836,frozenset({'21231'})
0.02971311475409836,frozenset({'85150'})
0.02971311475409836,frozenset({'21108'})
0.02971311475409836,frozenset({'85048'})
0.028688524590163935,frozenset({'23298'})
0.028688524590163935,frozenset({'22111'})
0.028688524590163935,frozenset({'23497'})
0.028688524590163935,frozenset({'23284'})
0.028688524590163935,frozenset({'23357'})
0.028688524590163935,frozenset({'22633'})
0.028688524590163935,frozenset({'23109'})
0.028688524590163935,frozenset({'23493'})
0.028688524590163935,frozenset({'20725'})
0.028688524590163935,frozenset({'48194'})
0.028688524590163935,frozenset({'79321'})
0.028688524590163935,frozenset({'21889'})
0.028688524590163935,frozenset({'22860'})
0.027663934426229508,frozenset({'82494L'})
0.027663934426229508,frozenset({'23367'})
0.027663934426229508,frozenset({'21175'})
0.027663934426229508,frozenset({'21819'})
0.027663934426229508,frozenset({'23188'})
0.027663934426229508,frozenset({'23480'})
0.027663934426229508,frozenset({'20971'})
0.027663934426229508,frozenset({'23300'})
0.027663934426229508,frozenset({'21967'})
0.027663934426229508,frozenset({'23330'})
0.027663934426229508,frozenset({'23552'})
0.027663934426229508,frozenset({'23681'})
0.02663934426229508,frozenset({'22992'})
0.02663934426229508,frozenset({'84997D'})
0.02663934426229508,frozenset({'23311'})
0.02663934426229508,frozenset({'23691'})
0.02663934426229508,frozenset({'82482'})
0.02663934426229508,frozenset({'22142'})
0.02663934426229508,frozenset({'21485'})
0.02663934426229508,frozenset({'22667'})
0.02663934426229508,frozenset({'22629'})
0.02663934426229508,frozenset({'47566'})
0.02663934426229508,frozenset({'22296'})
0.025614754098360656,frozenset({'22355'})
0.025614754098360656,frozenset({'23266'})
0.025614754098360656,frozenset({'23240'})
0.025614754098360656,frozenset({'22436'})
0.025614754098360656,frozenset({'22141'})
0.025614754098360656,frozenset({'23209'})
0.025614754098360656,frozenset({'21810'})
0.025614754098360656,frozenset({'84347'})
0.025614754098360656,frozenset({'82484'})
0.02459016393442623,frozenset({'22767'})
0.02459016393442623,frozenset({'22630'})
0.02459016393442623,frozenset({'84945'})
0.02459016393442623,frozenset({'22065'})
0.02459016393442623,frozenset({'22750'})
0.02459016393442623,frozenset({'20914'})
0.02459016393442623,frozenset({'23498'})
0.02459016393442623,frozenset({'23208'})
