support,itemsets
0.22643442622950818,frozenset({'22720'})
0.21721311475409835,frozenset({'22423'})
0.21413934426229508,frozenset({'85123A'})
0.19979508196721313,frozenset({'22470'})
0.1987704918032787,frozenset({'22469'})
0.19672131147540983,frozenset({'22457'})
0.18954918032786885,frozenset({'21733'})
0.18237704918032788,frozenset({'22722'})
0.18135245901639344,frozenset({'22961'})
0.18032786885245902,frozenset({'22960'})
0.17520491803278687,frozenset({'84879'})
0.16495901639344263,frozenset({'22666'})
0.16290983606557377,frozenset({'21755'})
0.15368852459016394,frozenset({'21212'})
0.15368852459016394,frozenset({'84378'})
0.15061475409836064,frozenset({'22957'})
0.1413934426229508,frozenset({'85099B'})
0.13524590163934427,frozenset({'20725'})
0.13422131147540983,frozenset({'47566'})
0.13319672131147542,frozenset({'48194'})
0.13217213114754098,frozenset({'21034'})
0.13217213114754098,frozenset({'22178'})
0.13012295081967212,frozenset({'82494L'})
0.13012295081967212,frozenset({'POST'})
0.12704918032786885,"frozenset({'22720', '22722'})"
0.1260245901639344,frozenset({'82482'})
0.1260245901639344,"frozenset({'22469', '22470'})"
0.12295081967213115,frozenset({'84992'})
0.12295081967213115,frozenset({'22766'})
0.12192622950819672,frozenset({'22966'})
0.12192622950819672,frozenset({'22624'})
0.11987704918032786,frozenset({'22697'})
0.11885245901639344,frozenset({'22699'})
0.11885245901639344,frozenset({'22558'})
0.11782786885245902,frozenset({'22667'})
0.11782786885245902,frozenset({'22804'})
0.11475409836065574,frozenset({'22969'})
0.11168032786885246,frozenset({'20685'})
0.11065573770491803,"frozenset({'21733', '85123A'})"
0.1096311475409836,frozenset({'48138'})
0.1096311475409836,frozenset({'21985'})
0.10860655737704918,frozenset({'22625'})
0.10758196721311475,"frozenset({'22961', '22960'})"
0.10758196721311475,"frozenset({'22697', '22699'})"
0.10655737704918032,frozenset({'84988'})
0.10655737704918032,"frozenset({'82482', '82494L'})"
0.10450819672131148,frozenset({'21754'})
0.10348360655737705,frozenset({'21931'})
0.10245901639344263,frozenset({'22384'})
0.10040983606557377,frozenset({'22382'})
0.10040983606557377,frozenset({'22383'})
0.10040983606557377,frozenset({'84970S'})
0.10040983606557377,frozenset({'21080'})
0.09631147540983606,frozenset({'22386'})
0.09631147540983606,frozenset({'22189'})
0.09631147540983606,"frozenset({'22469', '22457'})"
0.0942622950819672,"frozenset({'21733', '22804'})"
0.0942622950819672,"frozenset({'22804', '85123A'})"
0.0942622950819672,frozenset({'84050'})
0.0932377049180328,frozenset({'21181'})
0.0932377049180328,frozenset({'22727'})
0.09118852459016394,"frozenset({'22960', '22722'})"
0.09016393442622951,"frozenset({'22720', '22960'})"
0.09016393442622951,frozenset({'22926'})
0.08913934426229508,frozenset({'85099F'})
0.08913934426229508,frozenset({'22077'})
0.08811475409836066,frozenset({'20726'})
0.08811475409836066,frozenset({'20728'})
0.08811475409836066,"frozenset({'22470', '22457'})"
0.08709016393442623,"frozenset({'20685', '48194'})"
0.08709016393442623,frozenset({'22411'})
0.08709016393442623,frozenset({'82484'})
0.0860655737704918,frozenset({'48187'})
0.0860655737704918,"frozenset({'85099B', '22386'})"
0.08504098360655737,frozenset({'22241'})
0.08504098360655737,"frozenset({'85099F', '85099B'})"
0.08299180327868852,frozenset({'22907'})
0.08299180327868852,"frozenset({'85099B', '21931'})"
0.08196721311475409,"frozenset({'22720', '22666'})"
0.08196721311475409,"frozenset({'21931', '22386'})"
0.08094262295081968,frozenset({'22988'})
0.08094262295081968,frozenset({'21166'})
0.08094262295081968,frozenset({'20727'})
0.08094262295081968,"frozenset({'22383', '20725'})"
0.07991803278688525,"frozenset({'21733', '22804', '85123A'})"
0.07991803278688525,frozenset({'22662'})
0.07991803278688525,frozenset({'22629'})
0.07991803278688525,"frozenset({'85099F', '22386'})"
0.07889344262295082,frozenset({'21977'})
0.07889344262295082,"frozenset({'85099F', '85099B', '22386'})"
0.07889344262295082,"frozenset({'22457', '85123A'})"
