support,itemsets
0.13729508196721313,frozenset({'85123A'})
0.13012295081967212,frozenset({'23298'})
0.12807377049180327,frozenset({'47566'})
0.11577868852459017,frozenset({'22423'})
0.10245901639344263,frozenset({'23209'})
0.0942622950819672,frozenset({'23206'})
0.0932377049180328,frozenset({'84879'})
0.09221311475409837,frozenset({'23284'})
0.08913934426229508,frozenset({'23203'})
0.08709016393442623,frozenset({'85099B'})
0.0860655737704918,frozenset({'20725'})
0.08196721311475409,frozenset({'23199'})
0.08094262295081968,frozenset({'23207'})
0.07377049180327869,frozenset({'22993'})
0.07172131147540983,frozenset({'23201'})
0.06864754098360656,frozenset({'22383'})
0.06864754098360656,frozenset({'20727'})
0.06762295081967214,frozenset({'21212'})
0.06659836065573771,frozenset({'23208'})
0.06352459016393443,frozenset({'23202'})
0.06147540983606557,frozenset({'20728'})
0.06147540983606557,frozenset({'20726'})
0.060450819672131145,frozenset({'22699'})
0.060450819672131145,frozenset({'22178'})
0.05942622950819672,frozenset({'84755'})
0.0584016393442623,frozenset({'21936'})
0.05737704918032787,frozenset({'22501'})
0.05635245901639344,frozenset({'22727'})
0.05430327868852459,frozenset({'82482'})
0.05327868852459016,frozenset({'21181'})
0.05327868852459016,frozenset({'22697'})
0.05225409836065574,frozenset({'22197'})
0.05225409836065574,frozenset({'22722'})
0.05225409836065574,frozenset({'22384'})
0.05225409836065574,frozenset({'22090'})
0.05122950819672131,frozenset({'POST'})
0.050204918032786885,frozenset({'23170'})
0.050204918032786885,frozenset({'71459'})
0.050204918032786885,frozenset({'22411'})
0.050204918032786885,frozenset({'22666'})
0.04918032786885246,frozenset({'22698'})
0.04815573770491803,"frozenset({'23209', '23203'})"
0.04815573770491803,frozenset({'21754'})
0.0471311475409836,frozenset({'21080'})
0.0471311475409836,frozenset({'22382'})
0.0471311475409836,frozenset({'23204'})
0.04610655737704918,frozenset({'21166'})
0.04610655737704918,frozenset({'22502'})
0.045081967213114756,"frozenset({'23207', '23206'})"
0.04405737704918033,"frozenset({'47566', '23298'})"
0.04405737704918033,frozenset({'23171'})
0.04405737704918033,"frozenset({'23202', '23203'})"
0.04405737704918033,frozenset({'22386'})
0.04405737704918033,frozenset({'84991'})
0.04405737704918033,frozenset({'84978'})
0.0430327868852459,frozenset({'20914'})
0.0430327868852459,"frozenset({'22698', '22697'})"
0.0430327868852459,"frozenset({'22697', '22699'})"
0.0430327868852459,frozenset({'22457'})
0.0430327868852459,frozenset({'21977'})
0.042008196721311473,frozenset({'22558'})
0.042008196721311473,frozenset({'23144'})
0.042008196721311473,frozenset({'22629'})
0.042008196721311473,frozenset({'22960'})
0.040983606557377046,frozenset({'48138'})
0.040983606557377046,"frozenset({'22698', '22699'})"
0.040983606557377046,frozenset({'21931'})
0.040983606557377046,frozenset({'84970S'})
0.040983606557377046,frozenset({'21175'})
0.040983606557377046,frozenset({'23205'})
0.040983606557377046,frozenset({'22431'})
0.040983606557377046,frozenset({'21755'})
0.040983606557377046,frozenset({'21937'})
0.040983606557377046,frozenset({'22662'})
0.039959016393442626,frozenset({'23172'})
0.039959016393442626,frozenset({'20685'})
0.039959016393442626,frozenset({'22139'})
0.039959016393442626,frozenset({'21933'})
0.0389344262295082,frozenset({'23200'})
0.0389344262295082,frozenset({'23173'})
0.0389344262295082,"frozenset({'23170', '23171'})"
0.0389344262295082,"frozenset({'23199', '23206'})"
0.0389344262295082,frozenset({'48187'})
0.0389344262295082,frozenset({'85099C'})
0.03790983606557377,"frozenset({'23209', '23208'})"
0.03790983606557377,"frozenset({'23207', '23201'})"
0.03790983606557377,frozenset({'23084'})
